OD matrix,,,,,,,,,,,,
Period: 2019-10-07 00:00:00 to 2019-10-10 00:00:00 ,,,,,,,,,,,,
Granularity: TAZ ,,,,,,,,,,,,
Entries: all routes; all stops,,,,,,,,,,,,
Exits: all routes; all stops,,,,,,,,,,,,
Daily period: 04:00:00 to 03:59:00 ,,,,,,,,,,,,
Days of week: working days,,,,,,,,,,,,
Card titles: all,,,,,,,,,,,,
,,,,,,,,,,,,
itaz,ftaz,volume,average_volume_per_day,volume_of_transfers,number_of_transfers,transfer_distance,transfer_time,travel_time,trust_level,,,
Ajuda (Ajuda | Oeste),Alcantara (Santo Amaro | Sul),31,7.8,3,0.10,0.000,0.337,6.279,96.42,,,
Ajuda (Ajuda | Oeste),Alvalade (Alvalade),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Avenida do Brasil),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Campo Grande),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Cidade Universitaria),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Hospital Santa Maria | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Hospital Santa Maria | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alvalade (Roma - Areeiro | Este),4,1.0,0,0.00,0.000,0.000,22.080,94,,,
Ajuda (Ajuda | Oeste),Alvalade (Roma - Areeiro | Oeste),3,0.8,0,0.00,0.000,0.000,23.732,100,,,
Ajuda (Ajuda | Oeste),Alvalade (Sao Joao de Brito),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Areeiro (Alto Pina),1,0.3,4,4.00,0.033,26.582,46.363,100,,,
Ajuda (Ajuda | Oeste),Areeiro (Areeiro | Norte),2,0.5,3,1.50,0.018,6.724,28.036,100,,,
Ajuda (Ajuda | Oeste),Areeiro (Areeiro | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Arroios (Anjos),8,2.0,0,0.00,0.000,0.000,15.229,88.25,,,
Ajuda (Ajuda | Oeste),Arroios (Arroios | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Arroios (Arroios | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Arroios (Estefania),3,0.8,0,0.00,0.000,0.000,18.465,78.67,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Avenidas Novas | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Avenidas Novas | Oeste),1,0.3,1,1.00,0.026,14.664,32.963,100,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Bairro Santos | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Bairro Santos | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Campo Pequeno | Este),3,0.8,0,0.00,0.000,0.000,21.224,99,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Parque Eduardo VII),1,0.3,1,1.00,0.000,12.250,29.043,100,,,
Ajuda (Ajuda | Oeste),Avenidas Novas (Picoas),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Beato (Madre Deus | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Beato (Madre Deus | Oeste),1,0.3,2,2.00,0.033,18.966,38.073,100,,,
Ajuda (Ajuda | Oeste),Beato (Madre Deus | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Beato (Picheleira),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Belem (Alto Duque),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Belem (Belem | Este),11,2.8,3,0.27,0.010,4.999,9.371,91.17,,,
Ajuda (Ajuda | Oeste),Belem (Belem | Oeste),35,8.8,4,0.11,0.009,1.779,5.486,97.88,,,
Ajuda (Ajuda | Oeste),Belem (Ribeirinha - Belem),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Benfica (Benfica | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Benfica (Benfica | Sul),1,0.3,1,1.00,0.026,25.731,43.458,100,,,
Ajuda (Ajuda | Oeste),Benfica (Colegio Militar/Luz),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Benfica (Monsanto | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Campo de Ourique (Amoreiras),11,2.8,0,0.00,0.000,0.000,13.524,99,,,
Ajuda (Ajuda | Oeste),Campo de Ourique (Campo Ourique),5,1.3,4,0.80,0.027,14.451,23.321,98.75,,,
Ajuda (Ajuda | Oeste),Campolide (Bairro Liberdade),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Campolide (Campolide),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Campolide (Praca Espanha | Norte),4,1.0,6,1.50,0.140,17.627,28.306,95.5,,,
Ajuda (Ajuda | Oeste),Campolide (Praca Espanha | Sul),1,0.3,1,1.00,0.000,21.124,30.636,79.5,,,
Ajuda (Ajuda | Oeste),Carnide (Avenidas Novas),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Carnide (Carnide),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Estrela (Alcantara),31,7.8,14,0.45,0.013,8.299,18.683,99,,,
Ajuda (Ajuda | Oeste),Estrela (Estrela),2,0.5,1,0.50,0.045,11.411,20.500,100,,,
Ajuda (Ajuda | Oeste),Estrela (Lapa),4,1.0,0,0.00,0.000,0.000,9.404,100,,,
Ajuda (Ajuda | Oeste),Estrela (Ribeirinha - Belem),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Fora Municipio Lisboa,18,4.5,20,1.11,0.156,15.670,31.916,98.69,,,
Ajuda (Ajuda | Oeste),Lumiar (Aeroporto),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Lumiar | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Lumiar | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Lumiar | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Paco Lumiar),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Parque Europa),1,0.3,2,2.00,0.000,31.100,75.127,,,,
Ajuda (Ajuda | Oeste),Lumiar (Telheiras | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Telheiras | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Lumiar (Telheiras | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Bairro Armador),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Chelas),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Infante Dom Henrique - Porto | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Infante Dom Henrique - Porto | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Marechal Gomes da Costa),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Marvila (Parque Bela Vista),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Misericordia (Bairro Alto),3,0.8,0,0.00,0.000,0.000,8.674,95.5,,,
Ajuda (Ajuda | Oeste),Misericordia (Sao Paulo),26,6.5,3,0.12,0.034,3.192,13.563,92.26,,,
Ajuda (Ajuda | Oeste),Olivais (Alfredo Bensaude),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Encarnacao | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Encarnacao | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Olivais - Centro),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Olivais | Este),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Olivais | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Olivais | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Olivais (Relogio),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Parque das Nacoes (Estacao Oriente),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Parque das Nacoes (Parque Nacoes | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Parque das Nacoes (Parque Nacoes | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Parque das Nacoes (Parque Tejo),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Parque das Nacoes (Quinta Laranjeiras),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Penha de Franca (Penha Franca),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Penha de Franca (Sao Joao),6,1.5,6,1.00,0.000,18.721,44.838,100,,,
Ajuda (Ajuda | Oeste),Santa Clara (Ameixoeira | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Santa Clara (Ameixoeira | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Santa Maria Maior (Baixa),29,7.3,6,0.21,0.000,3.794,16.454,97.75,,,
Ajuda (Ajuda | Oeste),Santa Maria Maior (Castelo),1,0.3,1,1.00,0.000,15.925,31.005,100,,,
Ajuda (Ajuda | Oeste),Santo Antonio (Amoreiras),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Santo Antonio (Sao Jose),22,5.5,0,0.00,0.000,0.000,9.781,96.37,,,
Ajuda (Ajuda | Oeste),Santo Antonio (Sao Mamede),61,15.3,3,0.05,0.000,1.379,16.587,97.08,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Estrada Luz | Este),1,0.3,3,3.00,0.154,56.916,81.979,100,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Estrada Luz | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Sao Domingos de Benfica),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Sete Rios | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Sao Domingos de Benfica (Sete Rios | Sul),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Sao Vicente de Fora (Sao Vicente),,,,,,,,,,,
Ajuda (Ajuda | Sul),Ajuda (Ajuda | Norte),371,92.8,47,0.13,0.023,4.432,9.617,96.84,,,
Ajuda (Ajuda | Sul),Ajuda (Ajuda | Oeste),244,61.0,43,0.18,0.014,3.232,8.581,92.98,,,
Ajuda (Ajuda | Sul),Ajuda (Ajuda | Sul),1783,445.8,1278,0.72,0.038,13.670,17.684,94.06,,,
Ajuda (Ajuda | Sul),Ajuda (Restelo),506,126.5,186,0.37,0.024,5.327,9.266,93.72,,,
Ajuda (Ajuda | Sul),Alcantara (Santo Amaro | Norte),20,5.0,18,0.90,0.193,11.412,14.463,86.42,,,
Ajuda (Ajuda | Sul),Alcantara (Santo Amaro | Oeste),5,1.3,4,0.80,0.057,29.186,43.318,100,,,
Ajuda (Ajuda | Sul),Alcantara (Santo Amaro | Sul),3456,864.0,589,0.17,0.017,5.049,8.525,96.97,,,
Ajuda (Ajuda | Sul),Alvalade (Alvalade),8,2.0,18,2.25,0.100,28.729,43.904,97.68,,,
Ajuda (Ajuda | Sul),Alvalade (Avenida do Brasil),8,2.0,16,2.00,0.081,20.502,43.555,100,,,
Ajuda (Ajuda | Sul),Alvalade (Campo Grande),9,2.3,7,0.78,0.033,12.618,28.104,97.5,,,
Ajuda (Ajuda | Sul),Alvalade (Cidade Universitaria),1,0.3,3,3.00,0.000,35.508,81.809,,,,
Ajuda (Ajuda | Sul),Alvalade (Hospital Santa Maria | Este),6,1.5,7,1.17,0.000,23.440,47.374,100,,,
Ajuda (Ajuda | Sul),Alvalade (Hospital Santa Maria | Oeste),5,1.3,6,1.20,0.229,22.324,52.175,98.5,,,
Ajuda (Ajuda | Sul),Alvalade (Roma - Areeiro | Este),5,1.3,6,1.20,0.000,10.318,21.195,100,,,
Ajuda (Ajuda | Sul),Alvalade (Roma - Areeiro | Oeste),8,2.0,15,1.88,0.082,19.885,31.151,99.32,,,
Ajuda (Ajuda | Sul),Alvalade (Sao Joao de Brito),6,1.5,20,3.33,0.024,18.786,37.219,91.75,,,
Ajuda (Ajuda | Sul),Areeiro (Alto Pina),47,11.8,55,1.17,0.041,56.849,43.706,98.78,,,
Ajuda (Ajuda | Sul),Areeiro (Areeiro | Norte),43,10.8,43,1.00,0.044,16.239,34.260,94.93,,,
Ajuda (Ajuda | Sul),Areeiro (Areeiro | Sul),,,,,,,,,,,
Ajuda (Ajuda | Sul),Arroios (Anjos),435,108.8,65,0.15,0.000,2.146,17.150,81.15,,,
Ajuda (Ajuda | Sul),Arroios (Arroios | Norte),4,1.0,11,2.75,0.033,20.495,38.190,95.5,,,
Ajuda (Ajuda | Sul),Arroios (Arroios | Sul),200,50.0,34,0.17,0.013,2.508,19.849,81.95,,,
Ajuda (Ajuda | Sul),Arroios (Estefania),63,15.8,36,0.57,0.017,5.970,16.662,85.86,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Avenidas Novas | Este),205,51.3,82,0.40,0.029,6.788,19.513,94.56,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Avenidas Novas | Oeste),11,2.8,12,1.09,0.042,10.409,18.845,92.5,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Bairro Santos | Este),1,0.3,3,3.00,0.000,22.815,48.851,,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Bairro Santos | Oeste),1,0.3,3,3.00,0.030,16.815,36.124,95.33,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Campo Pequeno | Este),6,1.5,10,1.67,0.035,20.639,36.413,99.1,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Parque Eduardo VII),329,82.3,18,0.05,0.000,0.877,8.118,97.74,,,
Ajuda (Ajuda | Sul),Avenidas Novas (Picoas),268,67.0,36,0.13,0.000,1.777,13.716,93.01,,,
Ajuda (Ajuda | Sul),Beato (Madre Deus | Norte),1,0.3,2,2.00,0.253,28.208,46.431,100,,,
Ajuda (Ajuda | Sul),Beato (Madre Deus | Oeste),34,8.5,4,0.12,0.008,3.634,25.075,96.66,,,
Ajuda (Ajuda | Sul),Beato (Madre Deus | Sul),14,3.5,6,0.43,0.018,8.271,27.862,97.07,,,
Ajuda (Ajuda | Sul),Beato (Picheleira),3,0.8,5,1.67,0.077,12.561,27.245,98.38,,,
Ajuda (Ajuda | Sul),Belem (Alto Duque),56,14.0,27,0.48,0.059,5.239,13.518,94.83,,,
